TimeSeries ID,value_with_defaults_aggregate remote_type=VMs Different Region (outside europe-west4),value_with_defaults_aggregate remote_type=External (or VMs Different Project),value_with_defaults_aggregate remote_type=Google Services
remote_type,VMs Different Region (outside europe-west4),External (or VMs Different Project),Google Services
Wed May 22 2024 16:28:00 GMT+0200 (Central European Summer Time),0.16666666666666666,0.016666666666666666,0.16666666666666666
Wed May 22 2024 16:29:00 GMT+0200 (Central European Summer Time),0.16666666666666666,0.016666666666666666,0.05
Wed May 22 2024 16:30:00 GMT+0200 (Central European Summer Time),0.16666666666666666,0.016666666666666666,0.21666666666666667
Wed May 22 2024 16:31:00 GMT+0200 (Central European Summer Time),0.16666666666666666,0.016666666666666666,0.06666666666666667
Wed May 22 2024 16:32:00 GMT+0200 (Central European Summer Time),0.16666666666666666,0,0.2
Wed May 22 2024 16:33:00 GMT+0200 (Central European Summer Time),0.03333333333333333,0.03333333333333333,0.35
Wed May 22 2024 16:34:00 GMT+0200 (Central European Summer Time),0.13333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 16:35:00 GMT+0200 (Central European Summer Time),0.16666666666666666,0.016666666666666666,0.21666666666666667
Wed May 22 2024 16:36:00 GMT+0200 (Central European Summer Time),0.16666666666666666,0.016666666666666666,0.08333333333333333
Wed May 22 2024 16:37:00 GMT+0200 (Central European Summer Time),0.16666666666666666,0.016666666666666666,0.08333333333333333
Wed May 22 2024 16:38:00 GMT+0200 (Central European Summer Time),0.5666666666666667,0.016666666666666666,0.05
Wed May 22 2024 16:39:00 GMT+0200 (Central European Summer Time),0.016666666666666666,0,0.11666666666666667
Wed May 22 2024 16:40:00 GMT+0200 (Central European Summer Time),0,0.016666666666666666,0.06666666666666667
Wed May 22 2024 16:41:00 GMT+0200 (Central European Summer Time),0.26666666666666666,0.016666666666666666,0.03333333333333333
