TimeSeries ID,total direction=Write,total direction=Read
direction,Write,Read
Wed May 22 2024 13:45:00 GMT+0200 (Central European Summer Time),28548.416666666668,0
Wed May 22 2024 13:46:00 GMT+0200 (Central European Summer Time),31414.149999999998,15.45
Wed May 22 2024 13:47:00 GMT+0200 (Central European Summer Time),35166.6,121.08333333333333
Wed May 22 2024 13:48:00 GMT+0200 (Central European Summer Time),26277.350000000002,0
Wed May 22 2024 13:49:00 GMT+0200 (Central European Summer Time),26997.416666666664,30.9
Wed May 22 2024 13:50:00 GMT+0200 (Central European Summer Time),24908.466666666664,85816.46666666666
Wed May 22 2024 13:51:00 GMT+0200 (Central European Summer Time),28593.1,672126.1833333333
Wed May 22 2024 13:52:00 GMT+0200 (Central European Summer Time),159493.95,425178.14999999997
Wed May 22 2024 13:53:00 GMT+0200 (Central European Summer Time),995535.8666666667,3309597.433333333
Wed May 22 2024 13:54:00 GMT+0200 (Central European Summer Time),409828.60000000003,694266.1
Wed May 22 2024 13:55:00 GMT+0200 (Central European Summer Time),3009173.466666667,1198992.3666666667
Wed May 22 2024 13:56:00 GMT+0200 (Central European Summer Time),180921.53333333333,7618315.566666666
Wed May 22 2024 13:57:00 GMT+0200 (Central European Summer Time),489474.1,3941691.533333333
Wed May 22 2024 13:58:00 GMT+0200 (Central European Summer Time),275141.9166666667,2303.0666666666666
Wed May 22 2024 13:59:00 GMT+0200 (Central European Summer Time),307322.8333333333,1092.25
Wed May 22 2024 14:00:00 GMT+0200 (Central European Summer Time),491845.6666666666,968.65
Wed May 22 2024 14:01:00 GMT+0200 (Central European Summer Time),273182.1333333333,0
Wed May 22 2024 14:02:00 GMT+0200 (Central European Summer Time),292682.1,1638.1666666666667
Wed May 22 2024 14:03:00 GMT+0200 (Central European Summer Time),294881.7166666667,12842.1
Wed May 22 2024 14:04:00 GMT+0200 (Central European Summer Time),489138.8833333333,539.6166666666667
Wed May 22 2024 14:05:00 GMT+0200 (Central European Summer Time),279309,4039.3333333333335
Wed May 22 2024 14:06:00 GMT+0200 (Central European Summer Time),290301.25,2386.7833333333333
Wed May 22 2024 14:07:00 GMT+0200 (Central European Summer Time),288636.01666666666,1158
Wed May 22 2024 14:08:00 GMT+0200 (Central European Summer Time),300426.05,330.98333333333335
Wed May 22 2024 14:09:00 GMT+0200 (Central European Summer Time),484576.3833333333,2126.616666666667
Wed May 22 2024 14:10:00 GMT+0200 (Central European Summer Time),310995.7166666666,75.98333333333333
Wed May 22 2024 14:11:00 GMT+0200 (Central European Summer Time),483305.95,121.08333333333333
Wed May 22 2024 14:12:00 GMT+0200 (Central European Summer Time),284130.31666666665,255
Wed May 22 2024 14:13:00 GMT+0200 (Central European Summer Time),305131.4166666667,2005.5333333333333
Wed May 22 2024 14:14:00 GMT+0200 (Central European Summer Time),481447.64999999997,75.98333333333333
Wed May 22 2024 14:15:00 GMT+0200 (Central European Summer Time),279912.68333333335,615.6166666666667
Wed May 22 2024 14:16:00 GMT+0200 (Central European Summer Time),278442.5333333333,3882.2666666666664
Wed May 22 2024 14:17:00 GMT+0200 (Central European Summer Time),275938.81666666665,99.16666666666667
Wed May 22 2024 14:18:00 GMT+0200 (Central European Summer Time),315819.01666666666,318.15
Wed May 22 2024 14:19:00 GMT+0200 (Central European Summer Time),483964.9666666667,754.6666666666666
Wed May 22 2024 14:20:00 GMT+0200 (Central European Summer Time),275711.7833333333,4972.016666666666
Wed May 22 2024 14:21:00 GMT+0200 (Central European Summer Time),280138.14999999997,91.45
Wed May 22 2024 14:22:00 GMT+0200 (Central European Summer Time),302038.0833333334,752.1166666666667
Wed May 22 2024 14:23:00 GMT+0200 (Central European Summer Time),494870.14999999997,4003.366666666667
Wed May 22 2024 14:24:00 GMT+0200 (Central European Summer Time),285399.48333333334,68.26666666666667
Wed May 22 2024 14:25:00 GMT+0200 (Central European Summer Time),308159.35,60.53333333333333
Wed May 22 2024 14:26:00 GMT+0200 (Central European Summer Time),482821.3666666667,7.733333333333333
Wed May 22 2024 14:27:00 GMT+0200 (Central European Summer Time),280030.95,68.26666666666667
Wed May 22 2024 14:28:00 GMT+0200 (Central European Summer Time),281235.19999999995,562.75
Wed May 22 2024 14:29:00 GMT+0200 (Central European Summer Time),307728,4197.85
Wed May 22 2024 14:30:00 GMT+0200 (Central European Summer Time),482246.76666666666,2066.0666666666666
Wed May 22 2024 14:31:00 GMT+0200 (Central European Summer Time),280752.81666666665,392.8
Wed May 22 2024 14:32:00 GMT+0200 (Central European Summer Time),289013.8,3352.7
Wed May 22 2024 14:33:00 GMT+0200 (Central European Summer Time),283124.25,6675.966666666666
Wed May 22 2024 14:34:00 GMT+0200 (Central European Summer Time),302534.4833333333,6798.416666666667
Wed May 22 2024 14:35:00 GMT+0200 (Central European Summer Time),481255.11666666664,4777.333333333333
Wed May 22 2024 14:36:00 GMT+0200 (Central European Summer Time),275743.8,7101.066666666667
Wed May 22 2024 14:37:00 GMT+0200 (Central European Summer Time),314042.7833333333,3950.5
Wed May 22 2024 14:38:00 GMT+0200 (Central European Summer Time),486430.4166666667,128.81666666666666
Wed May 22 2024 14:39:00 GMT+0200 (Central European Summer Time),280606.65,68.26666666666667
Wed May 22 2024 14:40:00 GMT+0200 (Central European Summer Time),276028.65,60.53333333333333
Wed May 22 2024 14:41:00 GMT+0200 (Central European Summer Time),306131.2,0
Wed May 22 2024 14:42:00 GMT+0200 (Central European Summer Time),458961.61666666664,0
Wed May 22 2024 14:43:00 GMT+0200 (Central European Summer Time),102846.71666666666,46.36666666666667
Wed May 22 2024 14:44:00 GMT+0200 (Central European Summer Time),517731.8333333334,610.5166666666667
Wed May 22 2024 14:45:00 GMT+0200 (Central European Summer Time),486640.4166666666,2169.0666666666666
Wed May 22 2024 14:46:00 GMT+0200 (Central European Summer Time),273113.7,1816.1833333333334
Wed May 22 2024 14:47:00 GMT+0200 (Central European Summer Time),275349.4666666667,0
Wed May 22 2024 14:48:00 GMT+0200 (Central European Summer Time),286383.38333333336,0
Wed May 22 2024 14:49:00 GMT+0200 (Central European Summer Time),315869.3666666667,247.26666666666665
Wed May 22 2024 14:50:00 GMT+0200 (Central European Summer Time),482614.48333333334,1937.2666666666667
Wed May 22 2024 14:51:00 GMT+0200 (Central European Summer Time),277441.5333333333,247.28333333333333
Wed May 22 2024 14:52:00 GMT+0200 (Central European Summer Time),284388.7,1937.25
Wed May 22 2024 14:53:00 GMT+0200 (Central European Summer Time),280338.4666666667,0
Wed May 22 2024 14:54:00 GMT+0200 (Central European Summer Time),308586.2166666666,0
Wed May 22 2024 14:55:00 GMT+0200 (Central European Summer Time),484871.55000000005,0
Wed May 22 2024 14:56:00 GMT+0200 (Central European Summer Time),279906.01666666666,247.26666666666665
Wed May 22 2024 14:57:00 GMT+0200 (Central European Summer Time),299967.45,1937.2666666666667
Wed May 22 2024 14:58:00 GMT+0200 (Central European Summer Time),492108.73333333334,247.28333333333333
Wed May 22 2024 14:59:00 GMT+0200 (Central European Summer Time),305766.88333333336,2184.5333333333333
Wed May 22 2024 15:00:00 GMT+0200 (Central European Summer Time),488682.1833333333,1937.25
Wed May 22 2024 15:01:00 GMT+0200 (Central European Summer Time),279810.69999999995,0
Wed May 22 2024 15:02:00 GMT+0200 (Central European Summer Time),283217.11666666664,0
Wed May 22 2024 15:03:00 GMT+0200 (Central European Summer Time),277449.5833333333,0
Wed May 22 2024 15:04:00 GMT+0200 (Central European Summer Time),306312.4166666667,38.63333333333333
Wed May 22 2024 15:05:00 GMT+0200 (Central European Summer Time),488915.2833333333,364.51666666666665
Wed May 22 2024 15:06:00 GMT+0200 (Central European Summer Time),283396.73333333334,484.31666666666666
Wed May 22 2024 15:07:00 GMT+0200 (Central European Summer Time),273350.26666666666,0
Wed May 22 2024 15:08:00 GMT+0200 (Central European Summer Time),318349.68333333335,0
Wed May 22 2024 15:09:00 GMT+0200 (Central European Summer Time),511775.3833333333,0
Wed May 22 2024 15:10:00 GMT+0200 (Central European Summer Time),463055.6666666667,0
Wed May 22 2024 15:11:00 GMT+0200 (Central European Summer Time),94432.26666666668,0
Wed May 22 2024 15:12:00 GMT+0200 (Central European Summer Time),487036.26666666666,1498.9166666666667
Wed May 22 2024 15:13:00 GMT+0200 (Central European Summer Time),288174.55,11744.816666666666
Wed May 22 2024 15:14:00 GMT+0200 (Central European Summer Time),360461.11666666664,90261.56666666667
Wed May 22 2024 15:15:00 GMT+0200 (Central European Summer Time),857409.5666666667,707161.3666666667
Wed May 22 2024 15:16:00 GMT+0200 (Central European Summer Time),28218.566666666666,0
Wed May 22 2024 15:17:00 GMT+0200 (Central European Summer Time),32949.45,0
Wed May 22 2024 15:18:00 GMT+0200 (Central European Summer Time),38806.683333333334,292070.98333333334
Wed May 22 2024 15:19:00 GMT+0200 (Central European Summer Time),34989.75,3462868.9166666665
Wed May 22 2024 15:20:00 GMT+0200 (Central European Summer Time),28709.25,10360902.083333334
Wed May 22 2024 15:21:00 GMT+0200 (Central European Summer Time),32139.116666666665,10202380.833333334
