TimeSeries ID,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_NONE.metric.type="compute.googleapis.com/instance/cpu/utilization" resource.type="gce_instance" resource.labels."instance_id"="1345602841643241709" resource.labels."zone"="europe-central2-c" AND resource.labels."project_id"="ddls-owen-gombas".60s.instance_id:1345602841643241709.project_id:ddls-owen-gombas.zone:europe-central2-c.instance_name:instance-20240520-173618
instance_name,instance-20240520-173618
zone,europe-central2-c
instance_id,1345602841643241709
project_id,ddls-owen-gombas
Wed May 22 2024 14:45:00 GMT+0200 (Central European Summer Time),0.47966536729823017
Wed May 22 2024 14:46:00 GMT+0200 (Central European Summer Time),0.44168269261184606
Wed May 22 2024 14:47:00 GMT+0200 (Central European Summer Time),0.4557106686768672
Wed May 22 2024 14:48:00 GMT+0200 (Central European Summer Time),0.5149374441928519
Wed May 22 2024 14:49:00 GMT+0200 (Central European Summer Time),0.5458380878025347
Wed May 22 2024 14:50:00 GMT+0200 (Central European Summer Time),0.4857047884296018
Wed May 22 2024 14:51:00 GMT+0200 (Central European Summer Time),0.4504683628477134
Wed May 22 2024 14:52:00 GMT+0200 (Central European Summer Time),0.46677660240013663
Wed May 22 2024 14:53:00 GMT+0200 (Central European Summer Time),0.4758465639818307
Wed May 22 2024 14:54:00 GMT+0200 (Central European Summer Time),0.5045114999992241
Wed May 22 2024 14:55:00 GMT+0200 (Central European Summer Time),0.5253558203882335
Wed May 22 2024 14:56:00 GMT+0200 (Central European Summer Time),0.5262776938266294
Wed May 22 2024 14:57:00 GMT+0200 (Central European Summer Time),0.5260475398425684
Wed May 22 2024 14:58:00 GMT+0200 (Central European Summer Time),0.5278586558981033
Wed May 22 2024 14:59:00 GMT+0200 (Central European Summer Time),0.5302222654774179
Wed May 22 2024 15:00:00 GMT+0200 (Central European Summer Time),0.5314179991734742
Wed May 22 2024 15:01:00 GMT+0200 (Central European Summer Time),0.5304949885888921
Wed May 22 2024 15:02:00 GMT+0200 (Central European Summer Time),0.5285500941656815
Wed May 22 2024 15:03:00 GMT+0200 (Central European Summer Time),0.5300926281682147
Wed May 22 2024 15:04:00 GMT+0200 (Central European Summer Time),0.5180845088591013
Wed May 22 2024 15:05:00 GMT+0200 (Central European Summer Time),0.5275580649135009
Wed May 22 2024 15:06:00 GMT+0200 (Central European Summer Time),0.5293234896555077
Wed May 22 2024 15:07:00 GMT+0200 (Central European Summer Time),0.548198415313171
Wed May 22 2024 15:08:00 GMT+0200 (Central European Summer Time),0.5603201896986016
Wed May 22 2024 15:09:00 GMT+0200 (Central European Summer Time),0.5459590526760622
Wed May 22 2024 15:10:00 GMT+0200 (Central European Summer Time),0.4907886525986593
Wed May 22 2024 15:11:00 GMT+0200 (Central European Summer Time),0.4600877088649516
Wed May 22 2024 15:12:00 GMT+0200 (Central European Summer Time),0.5000987789860346
Wed May 22 2024 15:13:00 GMT+0200 (Central European Summer Time),0.5269238600554218
Wed May 22 2024 15:14:00 GMT+0200 (Central European Summer Time),0.5507301077122368
Wed May 22 2024 15:15:00 GMT+0200 (Central European Summer Time),0.21573252523124514
Wed May 22 2024 15:16:00 GMT+0200 (Central European Summer Time),0.02321631297162791
Wed May 22 2024 15:17:00 GMT+0200 (Central European Summer Time),0.023879276293647913
Wed May 22 2024 15:18:00 GMT+0200 (Central European Summer Time),0.027565682206219813
Wed May 22 2024 15:19:00 GMT+0200 (Central European Summer Time),0.17723947214838062
Wed May 22 2024 15:20:00 GMT+0200 (Central European Summer Time),0.30623762272573457
Wed May 22 2024 15:21:00 GMT+0200 (Central European Summer Time),0.3341568845675359
