TimeSeries ID,instance/network/sent_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/sent_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="1345602841643241709" resource.labels."zone"="europe-central2-c" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240520-173618
instance_name,instance-20240520-173618
project_id,ddls-owen-gombas
Wed May 22 2024 14:59:00 GMT+0200 (Central European Summer Time),8170206.45
Wed May 22 2024 15:00:00 GMT+0200 (Central European Summer Time),8520326.533333333
Wed May 22 2024 15:01:00 GMT+0200 (Central European Summer Time),8708324.033333333
Wed May 22 2024 15:02:00 GMT+0200 (Central European Summer Time),8719889.866666667
Wed May 22 2024 15:03:00 GMT+0200 (Central European Summer Time),8210941.716666667
Wed May 22 2024 15:04:00 GMT+0200 (Central European Summer Time),8720998.433333334
Wed May 22 2024 15:05:00 GMT+0200 (Central European Summer Time),8605532.833333334
Wed May 22 2024 15:06:00 GMT+0200 (Central European Summer Time),8242151.283333333
Wed May 22 2024 15:07:00 GMT+0200 (Central European Summer Time),9237287
Wed May 22 2024 15:08:00 GMT+0200 (Central European Summer Time),9038116.9
Wed May 22 2024 15:09:00 GMT+0200 (Central European Summer Time),8445586.266666668
Wed May 22 2024 15:10:00 GMT+0200 (Central European Summer Time),8261365.6
Wed May 22 2024 15:11:00 GMT+0200 (Central European Summer Time),7036331
Wed May 22 2024 15:12:00 GMT+0200 (Central European Summer Time),7707539.216666667
Wed May 22 2024 15:13:00 GMT+0200 (Central European Summer Time),8078539.266666667
Wed May 22 2024 15:14:00 GMT+0200 (Central European Summer Time),8173728.333333333
Wed May 22 2024 15:15:00 GMT+0200 (Central European Summer Time),3610532.783333333
Wed May 22 2024 15:16:00 GMT+0200 (Central European Summer Time),415.8666666666667
Wed May 22 2024 15:17:00 GMT+0200 (Central European Summer Time),34099.4
Wed May 22 2024 15:18:00 GMT+0200 (Central European Summer Time),730959.6666666666
Wed May 22 2024 15:19:00 GMT+0200 (Central European Summer Time),5481133.2
Wed May 22 2024 15:20:00 GMT+0200 (Central European Summer Time),15828167.666666666
Wed May 22 2024 15:21:00 GMT+0200 (Central European Summer Time),15869587.4
