TimeSeries ID,total direction=Write,total direction=Read
direction,Write,Read
Wed May 22 2024 19:46:00 GMT+0200 (Central European Summer Time),32785.583333333336,360.0833333333333
Wed May 22 2024 19:47:00 GMT+0200 (Central European Summer Time),43565.666666666664,0
Wed May 22 2024 19:48:00 GMT+0200 (Central European Summer Time),47905.316666666666,0
Wed May 22 2024 19:49:00 GMT+0200 (Central European Summer Time),38395.316666666666,0
Wed May 22 2024 19:50:00 GMT+0200 (Central European Summer Time),28623.3,0
Wed May 22 2024 19:51:00 GMT+0200 (Central European Summer Time),33114.683333333334,0
Wed May 22 2024 19:52:00 GMT+0200 (Central European Summer Time),131698.3,153968.76666666666
Wed May 22 2024 19:53:00 GMT+0200 (Central European Summer Time),160667.65,218016.3
Wed May 22 2024 19:54:00 GMT+0200 (Central European Summer Time),39252.13333333333,0
Wed May 22 2024 19:55:00 GMT+0200 (Central European Summer Time),40897.666666666664,0
Wed May 22 2024 19:56:00 GMT+0200 (Central European Summer Time),38067.73333333333,28.25
Wed May 22 2024 19:57:00 GMT+0200 (Central European Summer Time),40180.75,492.1333333333333
Wed May 22 2024 19:58:00 GMT+0200 (Central European Summer Time),39290.96666666667,1092.2666666666667
Wed May 22 2024 19:59:00 GMT+0200 (Central European Summer Time),42048.03333333333,640.15
Wed May 22 2024 20:00:00 GMT+0200 (Central European Summer Time),42475.05,0
Wed May 22 2024 20:01:00 GMT+0200 (Central European Summer Time),36484.66666666667,0
Wed May 22 2024 20:02:00 GMT+0200 (Central European Summer Time),32197.816666666666,0
Wed May 22 2024 20:03:00 GMT+0200 (Central European Summer Time),32721.7,0
Wed May 22 2024 20:04:00 GMT+0200 (Central European Summer Time),37455.299999999996,0
Wed May 22 2024 20:05:00 GMT+0200 (Central European Summer Time),40781.63333333333,0
Wed May 22 2024 20:06:00 GMT+0200 (Central European Summer Time),44611.200000000004,423.84999999999997
Wed May 22 2024 20:07:00 GMT+0200 (Central European Summer Time),41886.183333333334,600.15
Wed May 22 2024 20:08:00 GMT+0200 (Central European Summer Time),34745.2,0
Wed May 22 2024 20:09:00 GMT+0200 (Central European Summer Time),34260.9,0
Wed May 22 2024 20:10:00 GMT+0200 (Central European Summer Time),33298.916666666664,0
Wed May 22 2024 20:11:00 GMT+0200 (Central European Summer Time),30772.016666666666,0
Wed May 22 2024 20:12:00 GMT+0200 (Central European Summer Time),30797.283333333333,0
Wed May 22 2024 20:13:00 GMT+0200 (Central European Summer Time),31729.016666666666,0
Wed May 22 2024 20:14:00 GMT+0200 (Central European Summer Time),34527.8,0
Wed May 22 2024 20:15:00 GMT+0200 (Central European Summer Time),33131.21666666667,0
Wed May 22 2024 20:16:00 GMT+0200 (Central European Summer Time),39785.98333333334,0
Wed May 22 2024 20:17:00 GMT+0200 (Central European Summer Time),44024.99999999999,141.28333333333333
Wed May 22 2024 20:18:00 GMT+0200 (Central European Summer Time),36845.38333333333,200.05
Wed May 22 2024 20:19:00 GMT+0200 (Central European Summer Time),29786.566666666666,0
Wed May 22 2024 20:20:00 GMT+0200 (Central European Summer Time),30481.016666666666,0
Wed May 22 2024 20:21:00 GMT+0200 (Central European Summer Time),32153.266666666666,706.4
Wed May 22 2024 20:22:00 GMT+0200 (Central European Summer Time),36549.28333333333,1000.2666666666667
Wed May 22 2024 20:23:00 GMT+0200 (Central European Summer Time),31715,0
Wed May 22 2024 20:24:00 GMT+0200 (Central European Summer Time),31993.833333333332,0
Wed May 22 2024 20:25:00 GMT+0200 (Central European Summer Time),27140.5,0
Wed May 22 2024 20:26:00 GMT+0200 (Central European Summer Time),44033.13333333333,0
Wed May 22 2024 20:27:00 GMT+0200 (Central European Summer Time),51489.36666666666,0
Wed May 22 2024 20:28:00 GMT+0200 (Central European Summer Time),32968.666666666664,0
Wed May 22 2024 20:29:00 GMT+0200 (Central European Summer Time),34199.4,0
Wed May 22 2024 20:30:00 GMT+0200 (Central European Summer Time),44106.65,423.84999999999997
Wed May 22 2024 20:31:00 GMT+0200 (Central European Summer Time),74253.71666666666,600.15
Wed May 22 2024 20:32:00 GMT+0200 (Central European Summer Time),83695.25,0
Wed May 22 2024 20:33:00 GMT+0200 (Central European Summer Time),30070.583333333332,1808.4333333333334
Wed May 22 2024 20:34:00 GMT+0200 (Central European Summer Time),29012.533333333333,2560.633333333333
Wed May 22 2024 20:35:00 GMT+0200 (Central European Summer Time),116547.2,904.2166666666667
Wed May 22 2024 20:36:00 GMT+0200 (Central European Summer Time),156409.51666666666,1280.3166666666666
Wed May 22 2024 20:37:00 GMT+0200 (Central European Summer Time),28174.516666666666,0
Wed May 22 2024 20:38:00 GMT+0200 (Central European Summer Time),25675.56666666667,0
Wed May 22 2024 20:39:00 GMT+0200 (Central European Summer Time),29607.483333333334,0
Wed May 22 2024 20:40:00 GMT+0200 (Central European Summer Time),30000.666666666668,0
Wed May 22 2024 20:41:00 GMT+0200 (Central European Summer Time),26445.85,0
Wed May 22 2024 20:42:00 GMT+0200 (Central European Summer Time),28099.866666666665,904.2333333333333
Wed May 22 2024 20:43:00 GMT+0200 (Central European Summer Time),26786.4,1280.3
