TimeSeries ID,instance/network/received_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/received_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="987861714045355492" resource.labels."zone"="europe-west4-b" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240521-124408
instance_name,instance-20240521-124408
project_id,ddls-owen-gombas
Wed May 22 2024 14:45:00 GMT+0200 (Central European Summer Time),7668536.816666666
Wed May 22 2024 14:46:00 GMT+0200 (Central European Summer Time),7680544.533333333
Wed May 22 2024 14:47:00 GMT+0200 (Central European Summer Time),7685300.083333333
Wed May 22 2024 14:48:00 GMT+0200 (Central European Summer Time),8128872.583333333
Wed May 22 2024 14:49:00 GMT+0200 (Central European Summer Time),8965995.45
Wed May 22 2024 14:50:00 GMT+0200 (Central European Summer Time),7676582
Wed May 22 2024 14:51:00 GMT+0200 (Central European Summer Time),7534533.733333333
Wed May 22 2024 14:52:00 GMT+0200 (Central European Summer Time),7147434.416666667
Wed May 22 2024 14:53:00 GMT+0200 (Central European Summer Time),7786041.583333333
Wed May 22 2024 14:54:00 GMT+0200 (Central European Summer Time),8363561.7
Wed May 22 2024 14:55:00 GMT+0200 (Central European Summer Time),8412554.25
Wed May 22 2024 14:56:00 GMT+0200 (Central European Summer Time),7908252.566666666
Wed May 22 2024 14:57:00 GMT+0200 (Central European Summer Time),8435510.516666668
Wed May 22 2024 14:58:00 GMT+0200 (Central European Summer Time),8417350.3
Wed May 22 2024 14:59:00 GMT+0200 (Central European Summer Time),8025989.066666666
Wed May 22 2024 15:00:00 GMT+0200 (Central European Summer Time),8071727.166666667
Wed May 22 2024 15:01:00 GMT+0200 (Central European Summer Time),8407146.566666666
Wed May 22 2024 15:02:00 GMT+0200 (Central European Summer Time),8420818.683333334
Wed May 22 2024 15:03:00 GMT+0200 (Central European Summer Time),7945652.3
Wed May 22 2024 15:04:00 GMT+0200 (Central European Summer Time),8422280.65
Wed May 22 2024 15:05:00 GMT+0200 (Central European Summer Time),8323965.066666666
Wed May 22 2024 15:06:00 GMT+0200 (Central European Summer Time),8116039.816666666
Wed May 22 2024 15:07:00 GMT+0200 (Central European Summer Time),8797848.116666667
Wed May 22 2024 15:08:00 GMT+0200 (Central European Summer Time),9028046.066666666
Wed May 22 2024 15:09:00 GMT+0200 (Central European Summer Time),8414625.166666666
Wed May 22 2024 15:10:00 GMT+0200 (Central European Summer Time),8247487.85
Wed May 22 2024 15:11:00 GMT+0200 (Central European Summer Time),7032913.633333334
Wed May 22 2024 15:12:00 GMT+0200 (Central European Summer Time),7743517.966666667
Wed May 22 2024 15:13:00 GMT+0200 (Central European Summer Time),8196461.9
Wed May 22 2024 15:14:00 GMT+0200 (Central European Summer Time),7972323.75
Wed May 22 2024 15:15:00 GMT+0200 (Central European Summer Time),3732780.0833333335
Wed May 22 2024 15:16:00 GMT+0200 (Central European Summer Time),1599.8833333333334
Wed May 22 2024 15:17:00 GMT+0200 (Central European Summer Time),1131.5666666666666
Wed May 22 2024 15:18:00 GMT+0200 (Central European Summer Time),1233.2833333333333
