epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
49,1747365955.5582917,1747365956.5300827,1747365955.5582917,1747365955.6088927,1747365956.4575799,1747365956.4575799,1747365955.5582917,1747365955.6088927,1747365956.5278654,,1747365955.6088927,,49,,,1747365955.5582917,,,,,,,
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
9,1747366059.1659634,1747366059.6747065,1747366059.1659634,1747366059.2202754,1747366059.6196573,1747366059.6196573,1747366059.1659634,1747366059.2202754,1747366059.6730235,,1747366059.2202754,,9,,,1747366059.1659634,,,,,,,
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
1,1747366664.8714418,1747366664.9496162,1747366664.8714418,1747366664.9117537,1747366664.9287608,1747366664.9287608,1747366664.8714418,1747366664.9117537,1747366664.937967,,1747366664.9117537,,1,,,1747366664.8714418,,,,,,,
2,1747366664.9496162,1747366665.0321617,1747366664.9496162,1747366665.0023992,1747366665.0155404,1747366665.0155404,1747366664.9496162,1747366665.0013964,1747366665.0225532,,1747366665.0013964,,2,,,1747366664.9496162,,,,,,,
3,1747366665.0321617,1747366665.1148145,1747366665.0321617,1747366665.0823877,1747366665.095952,1747366665.095952,1747366665.0321617,1747366665.0813878,1747366665.1045911,,1747366665.0813878,,3,,,1747366665.0321617,,,,,,,
4,1747366665.1148145,1747366665.1935847,1747366665.1148145,1747366665.1628172,1747366665.1734242,1747366665.1734242,1747366665.1148145,1747366665.1628172,1747366665.1830406,,1747366665.1628172,,4,,,1747366665.1148145,,,,,,,
5,1747366665.1935847,1747366665.2710435,1747366665.1935847,1747366665.2392948,1747366665.2503364,1747366665.2503364,1747366665.1935847,1747366665.2392948,1747366665.2598965,,1747366665.2392948,,5,,,1747366665.1935847,,,,,,,
6,1747366665.2710435,1747366665.3496835,1747366665.2710435,1747366665.3182364,1747366665.3309126,1747366665.3309126,1747366665.2710435,1747366665.3182364,1747366665.338477,,1747366665.3182364,,6,,,1747366665.2710435,,,,,,,
7,1747366665.3496835,1747366665.421142,1747366665.3496835,1747366665.3934112,1747366665.4029021,1747366665.4029021,1747366665.3496835,1747366665.3924115,1747366665.4115884,,1747366665.3924115,,7,,,1747366665.3496835,,,,,,,
8,1747366665.421142,1747366665.5156345,1747366665.421142,1747366665.4807138,1747366665.4927144,1747366665.4927144,1747366665.421142,1747366665.4807138,1747366665.5026355,,1747366665.4807138,,8,,,1747366665.421142,,,,,,,
9,1747366665.5156345,1747366665.6087224,1747366665.5156345,1747366665.5763373,1747366665.5878632,1747366665.5878632,1747366665.5156345,1747366665.5763373,1747366665.5984292,,1747366665.5763373,,9,,,1747366665.5156345,,,,,,,
10,1747366665.6087224,1747366665.697129,1747366665.6087224,1747366665.6633275,1747366665.6757827,1747366665.6757827,1747366665.6087224,1747366665.6633275,1747366665.6865244,,1747366665.6633275,,10,,,1747366665.6087224,,,,,,,
11,1747366665.697129,1747366665.7769415,1747366665.697129,1747366665.7446887,1747366665.7583396,1747366665.7583396,1747366665.697129,1747366665.7446887,1747366665.7665637,,1747366665.7446887,,11,,,1747366665.697129,,,,,,,
12,1747366665.7769415,1747366665.8562913,1747366665.7769415,1747366665.8275275,1747366665.8379025,1747366665.8379025,1747366665.7769415,1747366665.8275275,1747366665.8483608,,1747366665.8275275,,12,,,1747366665.7769415,,,,,,,
13,1747366665.8562913,1747366665.935781,1747366665.8562913,1747366665.9047456,1747366665.9160068,1747366665.9160068,1747366665.857295,1747366665.9047456,1747366665.9264436,,1747366665.9047456,,13,,,1747366665.8562913,,,,,,,
14,1747366665.935781,1747366666.017494,1747366665.935781,1747366665.9650657,1747366665.9989052,1747366665.9989052,1747366665.935781,1747366665.9650657,1747366666.0073943,,1747366665.9650657,,14,,,1747366665.935781,,,,,,,
15,1747366666.017494,1747366666.106377,1747366666.017494,1747366666.073867,1747366666.0865088,1747366666.0865088,1747366666.017494,1747366666.073867,1747366666.095865,,1747366666.073867,,15,,,1747366666.017494,,,,,,,
16,1747366666.106377,1747366666.2009454,1747366666.106377,1747366666.1614773,1747366666.1747298,1747366666.1747298,1747366666.106377,1747366666.1614773,1747366666.1911209,,1747366666.1614773,,16,,,1747366666.106377,,,,,,,
17,1747366666.2009454,1747366666.287905,1747366666.2009454,1747366666.255583,1747366666.2673569,1747366666.2673569,1747366666.2009454,1747366666.255583,1747366666.2774606,,1747366666.255583,,17,,,1747366666.2009454,,,,,,,
18,1747366666.287905,1747366666.3781407,1747366666.287905,1747366666.34449,1747366666.3570952,1747366666.3570952,1747366666.287905,1747366666.34449,1747366666.3679185,,1747366666.34449,,18,,,1747366666.287905,,,,,,,
19,1747366666.3781407,1747366666.4590564,1747366666.3781407,1747366666.4258165,1747366666.437572,1747366666.437572,1747366666.3781407,1747366666.4258165,1747366666.4468234,,1747366666.4258165,,19,,,1747366666.3781407,,,,,,,
20,1747366666.4590564,1747366666.5362546,1747366666.4590564,1747366666.5076141,1747366666.5186274,1747366666.5186274,1747366666.4590564,1747366666.5076141,1747366666.5277648,,1747366666.5076141,,20,,,1747366666.4590564,,,,,,,
21,1747366666.5372539,1747366666.6142852,1747366666.5372539,1747366666.5853813,1747366666.5956776,1747366666.5956776,1747366666.5372539,1747366666.5853813,1747366666.6048942,,1747366666.5853813,,21,,,1747366666.5372539,,,,,,,
22,1747366666.6142852,1747366666.7042813,1747366666.6142852,1747366666.6725,1747366666.6844852,1747366666.6844852,1747366666.6142852,1747366666.6725,1747366666.6948712,,1747366666.6725,,22,,,1747366666.6142852,,,,,,,
23,1747366666.7042813,1747366666.798541,1747366666.7042813,1747366666.7656417,1747366666.7783823,1747366666.7783823,1747366666.7042813,1747366666.7638981,1747366666.7882903,,1747366666.7638981,,23,,,1747366666.7042813,,,,,,,
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
0,1747366702.9071205,1747366703.6507974,1747366702.9071205,1747366703.3030338,1747366703.5838625,1747366703.5838625,1747366702.9071205,1747366703.3030338,1747366703.6225052,,1747366703.3030338,,0,,,1747366702.9071205,,,,,,,
1,1747366703.6507974,1747366703.729787,1747366703.6507974,1747366703.6982715,1747366703.7116983,1747366703.7116983,1747366703.6507974,1747366703.6982715,1747366703.7200527,,1747366703.6982715,,1,,,1747366703.6507974,,,,,,,
2,1747366703.729787,1747366703.81142,1747366703.729787,1747366703.7836947,1747366703.7943957,1747366703.7943957,1747366703.729787,1747366703.7836947,1747366703.8018997,,1747366703.7836947,,2,,,1747366703.729787,,,,,,,
